link_id,length,link_name,DIR,FROM_NODE,TO_NODE,AB_CAPACIT,BA_CAPACIT,AB_FFT,BA_FFT,toll_ab,toll_ba,ALPHA,BETA,dir_name_ab,dir_name_ba,is_core
84552,0.3183,兴港大道,1,1,10078,999999,999999,0.191,0.191,,,0.7,4.5,南向北,,0
84551,0.3943,东雷高速,1,2,10085,999999,999999,0.2366,0.2366,,,0.7,4.5,西向东,,0
84568,0.3916,湖光快线延长线,1,4,11413,999999,999999,0.235,0.235,,,0.7,4.5,南向北,,0
84571,1.0783,,0,5,13789,999999,999999,0.647,0.647,,,0.7,4.5,西向东,东向西,0
84577,0.8301,,0,6,11411,999999,999999,0.498,0.498,,,0.7,4.5,西向东,东向西,0
84578,0.8333,,0,6,11415,999999,999999,0.5,0.5,,,0.7,4.5,西向东,东向西,0
84581,0.5373,,0,7,13710,999999,999999,0.3224,0.3224,,,0.7,4.5,北向南,南向北,0
84582,0.5329,,0,7,13713,999999,999999,0.3197,0.3197,,,0.7,4.5,北向南,南向北,0
84580,0.1648,,0,8,13724,999999,999999,0.0989,0.0989,,,0.7,4.5,西向东,东向西,0
84579,0.1635,,0,8,13791,999999,999999,0.0981,0.0981,,,0.7,4.5,西向东,东向西,0
84546,3.5843,,0,9,14445,999999,999999,2.1506,2.1506,,,0.7,4.5,北向南,南向北,0
84547,3.3953,,0,9,14448,999999,999999,2.0372,2.0372,,,0.7,4.5,北向南,南向北,0
84548,2.8086,,0,9,14603,999999,999999,1.6852,1.6852,,,0.7,4.5,西向东,东向西,0
84543,3.4281,,0,10,17117,999999,999999,2.0568,2.0568,,,0.7,4.5,北向南,南向北,0
84588,1.9405,,0,13,27422,999999,999999,1.1643,1.1643,,,0.7,4.5,北向南,南向北,0
84587,2.054,,0,14,26943,999999,999999,1.2324,1.2324,,,0.7,4.5,北向南,南向北,0
61114,0.4932,,0,1101,10671,999999,999999,1.9728,1.9728,,,100,10,西向东,东向西,1
61115,0.2059,,0,1101,16948,999999,999999,0.8238,0.8238,,,100,10,东向西,西向东,1
61116,0.7134,,0,1101,17033,999999,999999,2.8536,2.8536,,,100,10,北向南,南向北,1
61117,0.3872,,0,1102,16942,999999,999999,1.5488,1.5488,,,100,10,南向北,北向南,1
61119,0.3747,,0,1102,16947,999999,999999,1.4989,1.4989,,,100,10,西向东,东向西,1
61118,0.4132,,0,1102,16961,999999,999999,1.6526,1.6526,,,100,10,东向西,西向东,1
61122,0.425,,0,1103,13875,999999,999999,1.7002,1.7002,,,100,10,西向东,东向西,1
61120,0.3148,,0,1103,16960,999999,999999,1.2593,1.2593,,,100,10,南向北,北向南,1
61121,0.327,,0,1103,16990,999999,999999,1.3081,1.3081,,,100,10,东向西,西向东,1
61125,0.3673,,0,1104,13866,999999,999999,1.4693,1.4693,,,100,10,北向南,南向北,1
61124,0.2888,,0,1104,16968,999999,999999,1.1554,1.1554,,,100,10,东向西,西向东,1
61123,0.3087,,0,1104,16969,999999,999999,1.2347,1.2347,,,100,10,南向北,北向南,1
61160,0.3452,,0,1105,10771,999999,999999,1.3807,1.3807,,,100,10,北向南,南向北,1
61159,0.2628,,0,1105,24260,999999,999999,1.0513,1.0513,,,100,10,西向东,东向西,1
61161,0.2959,,0,1105,24262,999999,999999,1.1834,1.1834,,,100,10,西向东,东向西,1
61164,0.3209,,0,1106,17032,999999,999999,1.2836,1.2836,,,100,10,西向东,东向西,1
61163,0.3583,,0,1106,17033,999999,999999,1.433,1.433,,,100,10,东向西,西向东,1
61162,0.1853,,0,1106,17034,999999,999999,0.7412,0.7412,,,100,10,南向北,北向南,1
61167,0.4598,,0,1107,13833,999999,999999,1.8392,1.8392,,,100,10,北向南,南向北,1
61165,0.3458,,0,1107,17035,999999,999999,1.3833,1.3833,,,100,10,西向东,东向西,1
61166,0.3233,,0,1107,17038,999999,999999,1.2933,1.2933,,,100,10,东向西,西向东,1
61169,0.2905,,0,1108,13801,999999,999999,1.1622,1.1622,,,100,10,东向西,西向东,1
61168,0.2343,,0,1108,13867,999999,999999,0.9374,0.9374,,,100,10,西向东,东向西,1
61170,0.5138,,0,1108,13930,999999,999999,2.0553,2.0553,,,100,10,西向东,东向西,1
61230,0.2399,,0,1109,10810,999999,999999,0.9596,0.9596,,,100,10,西向东,东向西,1
61231,0.2063,,0,1109,10953,999999,999999,0.8251,0.8251,,,100,10,东向西,西向东,1
61232,0.4325,,0,1109,16723,999999,999999,1.7298,1.7298,,,100,10,北向南,南向北,1
61234,0.2423,,0,1110,10810,999999,999999,0.9693,0.9693,,,100,10,东向西,西向东,1
61233,0.4158,,0,1110,10952,999999,999999,1.663,1.663,,,100,10,东向西,西向东,1
61235,0.1295,,0,1110,21905,999999,999999,0.5181,0.5181,,,100,10,南向北,北向南,1
61236,0.1415,,0,1111,21906,999999,999999,0.5661,0.5661,,,100,10,南向北,北向南,1
61237,0.1929,,0,1111,21907,999999,999999,0.7718,0.7718,,,100,10,东向西,西向东,1
